"","sys_id","type","subtype","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","bacterial_strain"
"1340","UserReplicon_DRT_3_3","DRT","DRT_3","p13.G1|EKGIAMIK_04367","p13.G1|EKGIAMIK_04368","p13.G1|EKGIAMIK_04367,p13.G1|EKGIAMIK_04368","2","drt3b,drt3a","p13.G1"
"1341","UserReplicon_RM_Type_II_1","RM","RM_Type_II","p13.G10|JEDFLBBK_03082","p13.G10|JEDFLBBK_03083","p13.G10|JEDFLBBK_03082,p13.G10|JEDFLBBK_03083","2","Type_II_MTases,Type_II_REases","p13.G10"
"1342","UserReplicon_DRT_2_2","DRT","DRT_2","p13.G2|LMCMKCGG_01235","p13.G2|LMCMKCGG_01235","p13.G2|LMCMKCGG_01235","1","drt2","p13.G2"
"1343","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p13.G2|LMCMKCGG_02366","p13.G2|LMCMKCGG_02367","p13.G2|LMCMKCGG_02366,p13.G2|LMCMKCGG_02367","2","Type_IV_REases,Type_IV_REases","p13.G2"
"1344","UserReplicon_Septu_5","Septu","Septu","p13.G2|LMCMKCGG_02683","p13.G2|LMCMKCGG_02684","p13.G2|LMCMKCGG_02683,p13.G2|LMCMKCGG_02684","2","PtuB,PtuA","p13.G2"
"1345","UserReplicon_Abi2_1","Abi2","Abi2","p13.G2|LMCMKCGG_04642","p13.G2|LMCMKCGG_04642","p13.G2|LMCMKCGG_04642","1","Abi_2","p13.G2"
"1346","UserReplicon_Hachiman_3","Hachiman","Hachiman","p13.G2|LMCMKCGG_04651","p13.G2|LMCMKCGG_04652","p13.G2|LMCMKCGG_04651,p13.G2|LMCMKCGG_04652","2","HamA_2,HamB","p13.G2"
"1347","UserReplicon_Abi2_1","Abi2","Abi2","p13.G3|DHCFMJHC_03514","p13.G3|DHCFMJHC_03514","p13.G3|DHCFMJHC_03514","1","Abi_2","p13.G3"
"1348","UserReplicon_Hachiman_2","Hachiman","Hachiman","p13.G3|DHCFMJHC_03517","p13.G3|DHCFMJHC_03518","p13.G3|DHCFMJHC_03517,p13.G3|DHCFMJHC_03518","2","HamA_2,HamB","p13.G3"
"1349","UserReplicon_Shedu_4","Shedu","Shedu","p13.G3|DHCFMJHC_03582","p13.G3|DHCFMJHC_03582","p13.G3|DHCFMJHC_03582","1","SduA","p13.G3"
"1350","UserReplicon_RM_Type_IV_3","RM","RM_Type_IV","p13.G3|DHCFMJHC_04028","p13.G3|DHCFMJHC_04029","p13.G3|DHCFMJHC_04028,p13.G3|DHCFMJHC_04029","2","Type_IV_REases,Type_IV_REases","p13.G3"
"1351","UserReplicon_dCTPdeaminase_5","dCTPdeaminase","dCTPdeaminase","p13.G3|DHCFMJHC_05197","p13.G3|DHCFMJHC_05197","p13.G3|DHCFMJHC_05197","1","dCTPdeaminase","p13.G3"
"1352","UserReplicon_RM_Type_IV_3","RM","RM_Type_IV","p13.G4|MLKNBIJE_00211","p13.G4|MLKNBIJE_00212","p13.G4|MLKNBIJE_00211,p13.G4|MLKNBIJE_00212","2","Type_IV_REases,Type_IV_REases","p13.G4"
"1353","UserReplicon_Abi2_1","Abi2","Abi2","p13.G4|MLKNBIJE_02865","p13.G4|MLKNBIJE_02865","p13.G4|MLKNBIJE_02865","1","Abi_2","p13.G4"
"1354","UserReplicon_Hachiman_2","Hachiman","Hachiman","p13.G4|MLKNBIJE_02868","p13.G4|MLKNBIJE_02869","p13.G4|MLKNBIJE_02868,p13.G4|MLKNBIJE_02869","2","HamA_2,HamB","p13.G4"
"1355","UserReplicon_Shedu_4","Shedu","Shedu","p13.G4|MLKNBIJE_03480","p13.G4|MLKNBIJE_03480","p13.G4|MLKNBIJE_03480","1","SduA","p13.G4"
"1356","UserReplicon_dCTPdeaminase_5","dCTPdeaminase","dCTPdeaminase","p13.G4|MLKNBIJE_05347","p13.G4|MLKNBIJE_05347","p13.G4|MLKNBIJE_05347","1","dCTPdeaminase","p13.G4"
"1357","UserReplicon_Abi2_1","Abi2","Abi2","p13.G5|GJABCFGM_01401","p13.G5|GJABCFGM_01401","p13.G5|GJABCFGM_01401","1","Abi_2","p13.G5"
"1358","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p13.G5|GJABCFGM_03521","p13.G5|GJABCFGM_03521","p13.G5|GJABCFGM_03521","1","AAA_15_DUF4435","p13.G5"
"1359","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p13.G5|GJABCFGM_05026","p13.G5|GJABCFGM_05027","p13.G5|GJABCFGM_05026,p13.G5|GJABCFGM_05027","2","IetA,IetS","p13.G5"
"1360","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p13.G6|NGINMCMD_02085","p13.G6|NGINMCMD_02086","p13.G6|NGINMCMD_02085,p13.G6|NGINMCMD_02086","2","IetA,IetS","p13.G6"
"1361","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p13.G6|NGINMCMD_02690","p13.G6|NGINMCMD_02690","p13.G6|NGINMCMD_02690","1","AAA_15_DUF4435","p13.G6"
"1362","UserReplicon_Abi2_1","Abi2","Abi2","p13.G6|NGINMCMD_04139","p13.G6|NGINMCMD_04139","p13.G6|NGINMCMD_04139","1","Abi_2","p13.G6"
"1363","UserReplicon_Abi2_1","Abi2","Abi2","p13.G7|FLHGANNP_00131","p13.G7|FLHGANNP_00131","p13.G7|FLHGANNP_00131","1","Abi_2","p13.G7"
"1364","UserReplicon_Hachiman_3","Hachiman","Hachiman","p13.G7|FLHGANNP_00140","p13.G7|FLHGANNP_00141","p13.G7|FLHGANNP_00140,p13.G7|FLHGANNP_00141","2","HamA_2,HamB","p13.G7"
"1365","UserReplicon_Septu_5","Septu","Septu","p13.G7|FLHGANNP_00742","p13.G7|FLHGANNP_00743","p13.G7|FLHGANNP_00742,p13.G7|FLHGANNP_00743","2","PtuA,PtuB","p13.G7"
"1366","UserReplicon_DRT_2_2","DRT","DRT_2","p13.G7|FLHGANNP_02856","p13.G7|FLHGANNP_02856","p13.G7|FLHGANNP_02856","1","drt2","p13.G7"
"1367","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p13.G7|FLHGANNP_03856","p13.G7|FLHGANNP_03857","p13.G7|FLHGANNP_03856,p13.G7|FLHGANNP_03857","2","Type_IV_REases,Type_IV_REases","p13.G7"
"1368","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p13.G8|MGCEINAP_01772","p13.G8|MGCEINAP_01773","p13.G8|MGCEINAP_01772,p13.G8|MGCEINAP_01773","2","Type_IV_REases,Type_IV_REases","p13.G8"
"1369","UserReplicon_DRT_2_2","DRT","DRT_2","p13.G8|MGCEINAP_02284","p13.G8|MGCEINAP_02284","p13.G8|MGCEINAP_02284","1","drt2","p13.G8"
"1370","UserReplicon_Abi2_1","Abi2","Abi2","p13.G8|MGCEINAP_04721","p13.G8|MGCEINAP_04721","p13.G8|MGCEINAP_04721","1","Abi_2","p13.G8"
"1371","UserReplicon_Hachiman_3","Hachiman","Hachiman","p13.G8|MGCEINAP_04730","p13.G8|MGCEINAP_04731","p13.G8|MGCEINAP_04730,p13.G8|MGCEINAP_04731","2","HamA_2,HamB","p13.G8"
"1372","UserReplicon_Septu_5","Septu","Septu","p13.G8|MGCEINAP_05232","p13.G8|MGCEINAP_05233","p13.G8|MGCEINAP_05232,p13.G8|MGCEINAP_05233","2","PtuB,PtuA","p13.G8"
"1373","UserReplicon_RM_Type_IV_5","RM","RM_Type_IV","p13.H10|MAIJDJNP_00629","p13.H10|MAIJDJNP_00629","p13.H10|MAIJDJNP_00629","1","Type_IV_REases","p13.H10"
"1374","UserReplicon_Septu_9","Septu","Septu","p13.H10|MAIJDJNP_00903","p13.H10|MAIJDJNP_00904","p13.H10|MAIJDJNP_00903,p13.H10|MAIJDJNP_00904","2","PtuB,PtuA","p13.H10"
"1375","UserReplicon_RM_Type_IV_6","RM","RM_Type_IV","p13.H10|MAIJDJNP_00914","p13.H10|MAIJDJNP_00914","p13.H10|MAIJDJNP_00914","1","Type_IV_REases","p13.H10"
"1376","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p13.H10|MAIJDJNP_01637","p13.H10|MAIJDJNP_01640","p13.H10|MAIJDJNP_01637,p13.H10|MAIJDJNP_01640","2","Type_I_MTases,Type_I_REases","p13.H10"
"1377","UserReplicon_Hachiman_2","Hachiman","Hachiman","p13.H10|MAIJDJNP_02122","p13.H10|MAIJDJNP_02123","p13.H10|MAIJDJNP_02122,p13.H10|MAIJDJNP_02123","2","HamB,HamA_1","p13.H10"
"1378","UserReplicon_Rst_ATPase_8","Rst_ATPase","Rst_ATPase","p13.H10|MAIJDJNP_04322","p13.H10|MAIJDJNP_04322","p13.H10|MAIJDJNP_04322","1","ATPase","p13.H10"
"1379","UserReplicon_Gabija_1","Gabija","Gabija","p13.H10|MAIJDJNP_04871","p13.H10|MAIJDJNP_04872","p13.H10|MAIJDJNP_04871,p13.H10|MAIJDJNP_04872","2","GajA,GajB","p13.H10"
"1380","UserReplicon_Hachiman_3","Hachiman","Hachiman","p13.H10|MAIJDJNP_04874","p13.H10|MAIJDJNP_04875","p13.H10|MAIJDJNP_04874,p13.H10|MAIJDJNP_04875","2","HamB,HamA_2","p13.H10"
"1381","UserReplicon_Retron_III_7","Retron","Retron_III","p13.H10|MAIJDJNP_04877","p13.H10|MAIJDJNP_04878","p13.H10|MAIJDJNP_04877,p13.H10|MAIJDJNP_04878","2","PRTase_WH,RT_Tot","p13.H10"
"1382","UserReplicon_Wadjet_I_10","Wadjet","Wadjet_I","p13.H10|MAIJDJNP_05159","p13.H10|MAIJDJNP_05162","p13.H10|MAIJDJNP_05159,p13.H10|MAIJDJNP_05160,p13.H10|MAIJDJNP_05161,p13.H10|MAIJDJNP_05162","4","JetD_I,JetC_I,JetB_I,JetA_I","p13.H10"
"1383","UserReplicon_Rst_HEPN_7","Rst_HEPN","Rst_HEPN","p13.H11|HECDCDEL_00685","p13.H11|HECDCDEL_00685","p13.H11|HECDCDEL_00685","1","Rst_HEPN","p13.H11"
"1384","UserReplicon_Gabija_2","Gabija","Gabija","p13.H11|HECDCDEL_00705","p13.H11|HECDCDEL_00706","p13.H11|HECDCDEL_00705,p13.H11|HECDCDEL_00706","2","GajA,GajB","p13.H11"
"1385","UserReplicon_RM_Type_II_5","RM","RM_Type_II","p13.H11|HECDCDEL_02048","p13.H11|HECDCDEL_02049","p13.H11|HECDCDEL_02048,p13.H11|HECDCDEL_02049","2","Type_II_MTases,Type_II_REases","p13.H11"
"1386","UserReplicon_RM_Type_II_6","RM","RM_Type_II","p13.H11|HECDCDEL_02705","p13.H11|HECDCDEL_02706","p13.H11|HECDCDEL_02705,p13.H11|HECDCDEL_02706","2","Type_II_MTases,Type_II_REases","p13.H11"
"1387","UserReplicon_Abi2_1","Abi2","Abi2","p13.H11|HECDCDEL_03163","p13.H11|HECDCDEL_03163","p13.H11|HECDCDEL_03163","1","Abi_2","p13.H11"
"1388","UserReplicon_Wadjet_I_10","Wadjet","Wadjet_I","p13.H11|HECDCDEL_03508","p13.H11|HECDCDEL_03511","p13.H11|HECDCDEL_03508,p13.H11|HECDCDEL_03509,p13.H11|HECDCDEL_03510,p13.H11|HECDCDEL_03511","4","JetD_I,JetC_I,JetB_I,JetA_I","p13.H11"
"1389","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p13.H11|HECDCDEL_04902","p13.H11|HECDCDEL_04903","p13.H11|HECDCDEL_04902,p13.H11|HECDCDEL_04903","2","Type_I_REases,Type_I_MTases","p13.H11"
"1390","UserReplicon_Rst_Sirtuin-like_8","Rst_Sirtuin-like","Rst_Sirtuin-like","p13.H11|HECDCDEL_05016","p13.H11|HECDCDEL_05016","p13.H11|HECDCDEL_05016","1","Sirtuin_like","p13.H11"
"1391","UserReplicon_Gao_Iet_3","Gao_Iet","Gao_Iet","p13.H11|HECDCDEL_05025","p13.H11|HECDCDEL_05026","p13.H11|HECDCDEL_05025,p13.H11|HECDCDEL_05026","2","IetS,IetA","p13.H11"
"1392","UserReplicon_Septu_9","Septu","Septu","p13.H11|HECDCDEL_05430","p13.H11|HECDCDEL_05431","p13.H11|HECDCDEL_05430,p13.H11|HECDCDEL_05431","2","PtuA,PtuB","p13.H11"
"1393","UserReplicon_Gao_Ppl_3","Gao_Ppl","Gao_Ppl","p13.H12|BKGGODFG_00851","p13.H12|BKGGODFG_00851","p13.H12|BKGGODFG_00851","1","PplA","p13.H12"
"1394","UserReplicon_Gabija_2","Gabija","Gabija","p13.H12|BKGGODFG_01078","p13.H12|BKGGODFG_01079","p13.H12|BKGGODFG_01078,p13.H12|BKGGODFG_01079","2","GajB,GajA","p13.H12"
"1395","UserReplicon_Rst_DprA-PPRT_5","Rst_DprA-PPRT","Rst_DprA-PPRT","p13.H12|BKGGODFG_01104","p13.H12|BKGGODFG_01105","p13.H12|BKGGODFG_01104,p13.H12|BKGGODFG_01105","2","Phosphoribosyltransferase,DprA","p13.H12"
"1396","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p13.H12|BKGGODFG_01810","p13.H12|BKGGODFG_01813","p13.H12|BKGGODFG_01810,p13.H12|BKGGODFG_01813","2","Type_I_REases,Type_I_MTases","p13.H12"
"1397","UserReplicon_Abi2_1","Abi2","Abi2","p13.H12|BKGGODFG_01952","p13.H12|BKGGODFG_01952","p13.H12|BKGGODFG_01952","1","Abi_2","p13.H12"
"1398","UserReplicon_dCTPdeaminase_7","dCTPdeaminase","dCTPdeaminase","p13.H2|GFNKCJJN_00476","p13.H2|GFNKCJJN_00476","p13.H2|GFNKCJJN_00476","1","dCTPdeaminase","p13.H2"
"1399","UserReplicon_Septu_4","Septu","Septu","p13.H2|GFNKCJJN_01780","p13.H2|GFNKCJJN_01781","p13.H2|GFNKCJJN_01780,p13.H2|GFNKCJJN_01781","2","PtuA,PtuB","p13.H2"
"1400","UserReplicon_Shedu_6","Shedu","Shedu","p13.H2|GFNKCJJN_01840","p13.H2|GFNKCJJN_01840","p13.H2|GFNKCJJN_01840","1","SduA","p13.H2"
"1401","UserReplicon_RM_Type_IV_3","RM","RM_Type_IV","p13.H2|GFNKCJJN_03895","p13.H2|GFNKCJJN_03896","p13.H2|GFNKCJJN_03895,p13.H2|GFNKCJJN_03896","2","Type_IV_REases,Type_IV_REases","p13.H2"
"1402","UserReplicon_Septu_5","Septu","Septu","p13.H2|GFNKCJJN_04697","p13.H2|GFNKCJJN_04698","p13.H2|GFNKCJJN_04697,p13.H2|GFNKCJJN_04698","2","PtuB,PtuA","p13.H2"
"1403","UserReplicon_Abi2_1","Abi2","Abi2","p13.H2|GFNKCJJN_05052","p13.H2|GFNKCJJN_05052","p13.H2|GFNKCJJN_05052","1","Abi_2","p13.H2"
"1404","UserReplicon_Hachiman_2","Hachiman","Hachiman","p13.H2|GFNKCJJN_05055","p13.H2|GFNKCJJN_05056","p13.H2|GFNKCJJN_05055,p13.H2|GFNKCJJN_05056","2","HamA_2,HamB","p13.H2"
"1405","UserReplicon_Septu_5","Septu","Septu","p13.H3|AMPAOGIM_01202","p13.H3|AMPAOGIM_01203","p13.H3|AMPAOGIM_01202,p13.H3|AMPAOGIM_01203","2","PtuB,PtuA","p13.H3"
"1406","UserReplicon_Kiwa_4","Kiwa","Kiwa","p13.H3|AMPAOGIM_01542","p13.H3|AMPAOGIM_01543","p13.H3|AMPAOGIM_01542,p13.H3|AMPAOGIM_01543","2","KwaB,KwaA","p13.H3"
"1407","UserReplicon_Dnd_ABCDE_3","Dnd","Dnd_ABCDE","p13.H3|AMPAOGIM_02823","p13.H3|AMPAOGIM_02828","p13.H3|AMPAOGIM_02823,p13.H3|AMPAOGIM_02824,p13.H3|AMPAOGIM_02825,p13.H3|AMPAOGIM_02826,p13.H3|AMPAOGIM_02828","5","DndB,DndC,DndD,DndE,DndB","p13.H3"
"1408","UserReplicon_Septu_6","Septu","Septu","p13.H3|AMPAOGIM_02922","p13.H3|AMPAOGIM_02923","p13.H3|AMPAOGIM_02922,p13.H3|AMPAOGIM_02923","2","PtuA,PtuB","p13.H3"
"1409","UserReplicon_Abi2_1","Abi2","Abi2","p13.H3|AMPAOGIM_03696","p13.H3|AMPAOGIM_03696","p13.H3|AMPAOGIM_03696","1","Abi_2","p13.H3"
"1410","UserReplicon_DRT_3_2","DRT","DRT_3","p13.H3|AMPAOGIM_03705","p13.H3|AMPAOGIM_03706","p13.H3|AMPAOGIM_03705,p13.H3|AMPAOGIM_03706","2","drt3b,drt3a","p13.H3"
"1411","UserReplicon_Zorya_TypeI_8","Zorya","Zorya_TypeI","p13.H3|AMPAOGIM_03844","p13.H3|AMPAOGIM_03847","p13.H3|AMPAOGIM_03844,p13.H3|AMPAOGIM_03845,p13.H3|AMPAOGIM_03846,p13.H3|AMPAOGIM_03847","4","ZorA,ZorB,ZorC,ZorD","p13.H3"
"1412","UserReplicon_Septu_7","Septu","Septu","p13.H3|AMPAOGIM_05061","p13.H3|AMPAOGIM_05062","p13.H3|AMPAOGIM_05061,p13.H3|AMPAOGIM_05062","2","PtuA,PtuB","p13.H3"
"1413","UserReplicon_Abi2_1","Abi2","Abi2","p13.H4|EKDOIIEJ_00042","p13.H4|EKDOIIEJ_00042","p13.H4|EKDOIIEJ_00042","1","Abi_2","p13.H4"
"1414","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p13.H4|EKDOIIEJ_00633","p13.H4|EKDOIIEJ_00634","p13.H4|EKDOIIEJ_00633,p13.H4|EKDOIIEJ_00634","2","IetA,IetS","p13.H4"
"1415","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p13.H4|EKDOIIEJ_02452","p13.H4|EKDOIIEJ_02452","p13.H4|EKDOIIEJ_02452","1","AAA_15_DUF4435","p13.H4"
"1416","UserReplicon_Abi2_1","Abi2","Abi2","p13.H5|MNLEDDME_00452","p13.H5|MNLEDDME_00452","p13.H5|MNLEDDME_00452","1","Abi_2","p13.H5"
"1417","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p13.H5|MNLEDDME_00710","p13.H5|MNLEDDME_00710","p13.H5|MNLEDDME_00710","1","AAA_15_DUF4435","p13.H5"
"1418","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p13.H5|MNLEDDME_03728","p13.H5|MNLEDDME_03729","p13.H5|MNLEDDME_03728,p13.H5|MNLEDDME_03729","2","IetA,IetS","p13.H5"
"1419","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p13.H6|MKFNAHLN_00522","p13.H6|MKFNAHLN_00523","p13.H6|MKFNAHLN_00522,p13.H6|MKFNAHLN_00523","2","Type_IV_REases,Type_IV_REases","p13.H6"
"1420","UserReplicon_CBASS_III_3","CBASS","CBASS_III","p13.H6|MKFNAHLN_01378","p13.H6|MKFNAHLN_01385","p13.H6|MKFNAHLN_01378,p13.H6|MKFNAHLN_01382,p13.H6|MKFNAHLN_01383,p13.H6|MKFNAHLN_01384,p13.H6|MKFNAHLN_01385","5","Phospholipase,Sensing_TPALS,TRIP13,bacHORMA_1,Cyclase_II","p13.H6"
"1421","UserReplicon_Abi2_1","Abi2","Abi2","p13.H6|MKFNAHLN_03138","p13.H6|MKFNAHLN_03138","p13.H6|MKFNAHLN_03138","1","Abi_2","p13.H6"
"1422","UserReplicon_Abi2_1","Abi2","Abi2","p13.H7|OLFCMELN_00558","p13.H7|OLFCMELN_00558","p13.H7|OLFCMELN_00558","1","Abi_2","p13.H7"
"1423","UserReplicon_Hachiman_3","Hachiman","Hachiman","p13.H7|OLFCMELN_00567","p13.H7|OLFCMELN_00568","p13.H7|OLFCMELN_00567,p13.H7|OLFCMELN_00568","2","HamA_2,HamB","p13.H7"
"1424","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p13.H7|OLFCMELN_00811","p13.H7|OLFCMELN_00812","p13.H7|OLFCMELN_00811,p13.H7|OLFCMELN_00812","2","Type_IV_REases,Type_IV_REases","p13.H7"
"1425","UserReplicon_DRT_2_2","DRT","DRT_2","p13.H7|OLFCMELN_02784","p13.H7|OLFCMELN_02784","p13.H7|OLFCMELN_02784","1","drt2","p13.H7"
"1426","UserReplicon_RM_Type_II_1","RM","RM_Type_II","p13.H9|IAOLDOCE_02498","p13.H9|IAOLDOCE_02499","p13.H9|IAOLDOCE_02498,p13.H9|IAOLDOCE_02499","2","Type_II_MTases,Type_II_REases","p13.H9"
"1427","UserReplicon_RM_Type_II_5","RM","RM_Type_II","p2.A1|JKCCFEHF_00686","p2.A1|JKCCFEHF_00687","p2.A1|JKCCFEHF_00686,p2.A1|JKCCFEHF_00687","2","Type_II_MTases,Type_II_REases","p2.A1"
"1428","UserReplicon_RM_Type_II_6","RM","RM_Type_II","p2.A1|JKCCFEHF_01106","p2.A1|JKCCFEHF_01107","p2.A1|JKCCFEHF_01106,p2.A1|JKCCFEHF_01107","2","Type_II_MTases,Type_II_REases","p2.A1"
"1429","UserReplicon_Rst_Sirtuin-like_8","Rst_Sirtuin-like","Rst_Sirtuin-like","p2.A1|JKCCFEHF_01791","p2.A1|JKCCFEHF_01791","p2.A1|JKCCFEHF_01791","1","Sirtuin_like","p2.A1"
"1430","UserReplicon_Gao_Iet_3","Gao_Iet","Gao_Iet","p2.A1|JKCCFEHF_01800","p2.A1|JKCCFEHF_01801","p2.A1|JKCCFEHF_01800,p2.A1|JKCCFEHF_01801","2","IetS,IetA","p2.A1"
"1431","UserReplicon_Abi2_1","Abi2","Abi2","p2.A1|JKCCFEHF_01910","p2.A1|JKCCFEHF_01910","p2.A1|JKCCFEHF_01910","1","Abi_2","p2.A1"
"1432","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p2.A1|JKCCFEHF_02133","p2.A1|JKCCFEHF_02134","p2.A1|JKCCFEHF_02133,p2.A1|JKCCFEHF_02134","2","Type_I_REases,Type_I_MTases","p2.A1"
"1433","UserReplicon_Septu_9","Septu","Septu","p2.A1|JKCCFEHF_02203","p2.A1|JKCCFEHF_02204","p2.A1|JKCCFEHF_02203,p2.A1|JKCCFEHF_02204","2","PtuA,PtuB","p2.A1"
"1434","UserReplicon_Rst_HEPN_7","Rst_HEPN","Rst_HEPN","p2.A1|JKCCFEHF_03483","p2.A1|JKCCFEHF_03483","p2.A1|JKCCFEHF_03483","1","Rst_HEPN","p2.A1"
"1435","UserReplicon_Gabija_2","Gabija","Gabija","p2.A1|JKCCFEHF_03503","p2.A1|JKCCFEHF_03504","p2.A1|JKCCFEHF_03503,p2.A1|JKCCFEHF_03504","2","GajA,GajB","p2.A1"
"1436","UserReplicon_Wadjet_I_10","Wadjet","Wadjet_I","p2.A1|JKCCFEHF_05442","p2.A1|JKCCFEHF_05445","p2.A1|JKCCFEHF_05442,p2.A1|JKCCFEHF_05443,p2.A1|JKCCFEHF_05444,p2.A1|JKCCFEHF_05445","4","JetD_I,JetC_I,JetB_I,JetA_I","p2.A1"
"1437","UserReplicon_Septu_5","Septu","Septu","p2.A10|IBGMFEDL_00285","p2.A10|IBGMFEDL_00286","p2.A10|IBGMFEDL_00285,p2.A10|IBGMFEDL_00286","2","PtuA,PtuB","p2.A10"
"1438","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p2.A10|IBGMFEDL_00602","p2.A10|IBGMFEDL_00603","p2.A10|IBGMFEDL_00602,p2.A10|IBGMFEDL_00603","2","Type_IV_REases,Type_IV_REases","p2.A10"
"1439","UserReplicon_DRT_2_2","DRT","DRT_2","p2.A10|IBGMFEDL_01888","p2.A10|IBGMFEDL_01888","p2.A10|IBGMFEDL_01888","1","drt2","p2.A10"
"1440","UserReplicon_Hachiman_3","Hachiman","Hachiman","p2.A10|IBGMFEDL_02700","p2.A10|IBGMFEDL_02701","p2.A10|IBGMFEDL_02700,p2.A10|IBGMFEDL_02701","2","HamB,HamA_2","p2.A10"
"1441","UserReplicon_Abi2_1","Abi2","Abi2","p2.A10|IBGMFEDL_02710","p2.A10|IBGMFEDL_02710","p2.A10|IBGMFEDL_02710","1","Abi_2","p2.A10"
"1442","UserReplicon_Abi2_1","Abi2","Abi2","p2.A11|AEMBIKKL_04475","p2.A11|AEMBIKKL_04475","p2.A11|AEMBIKKL_04475","1","Abi_2","p2.A11"
"1443","UserReplicon_Hachiman_3","Hachiman","Hachiman","p2.A11|AEMBIKKL_04484","p2.A11|AEMBIKKL_04485","p2.A11|AEMBIKKL_04484,p2.A11|AEMBIKKL_04485","2","HamA_2,HamB","p2.A11"
"1444","UserReplicon_BREX_2","BREX","BREX","p2.A11|AEMBIKKL_04625","p2.A11|AEMBIKKL_04630","p2.A11|AEMBIKKL_04625,p2.A11|AEMBIKKL_04626,p2.A11|AEMBIKKL_04629,p2.A11|AEMBIKKL_04630","4","brxB_DUF1788,brxC,pglZB,brxL","p2.A11"
"1445","UserReplicon_RM_Type_IIG_4","RM","RM_Type_IIG","p2.A11|AEMBIKKL_04627","p2.A11|AEMBIKKL_04627","p2.A11|AEMBIKKL_04627","1","Type_IIG","p2.A11"
"1446","UserReplicon_RM_Type_II_5","RM","RM_Type_II","p2.A2|IGHNDIAB_00400","p2.A2|IGHNDIAB_00401","p2.A2|IGHNDIAB_00400,p2.A2|IGHNDIAB_00401","2","Type_II_REases,Type_II_MTases","p2.A2"
"1447","UserReplicon_Wadjet_I_10","Wadjet","Wadjet_I","p2.A2|IGHNDIAB_00699","p2.A2|IGHNDIAB_00702","p2.A2|IGHNDIAB_00699,p2.A2|IGHNDIAB_00700,p2.A2|IGHNDIAB_00701,p2.A2|IGHNDIAB_00702","4","JetD_I,JetC_I,JetB_I,JetA_I","p2.A2"
"1448","UserReplicon_RM_Type_II_6","RM","RM_Type_II","p2.A2|IGHNDIAB_01128","p2.A2|IGHNDIAB_01129","p2.A2|IGHNDIAB_01128,p2.A2|IGHNDIAB_01129","2","Type_II_MTases,Type_II_REases","p2.A2"
"1449","UserReplicon_Rst_Sirtuin-like_8","Rst_Sirtuin-like","Rst_Sirtuin-like","p2.A2|IGHNDIAB_01798","p2.A2|IGHNDIAB_01798","p2.A2|IGHNDIAB_01798","1","Sirtuin_like","p2.A2"
"1450","UserReplicon_Gao_Iet_3","Gao_Iet","Gao_Iet","p2.A2|IGHNDIAB_01807","p2.A2|IGHNDIAB_01808","p2.A2|IGHNDIAB_01807,p2.A2|IGHNDIAB_01808","2","IetS,IetA","p2.A2"
"1451","UserReplicon_Rst_HEPN_7","Rst_HEPN","Rst_HEPN","p2.A2|IGHNDIAB_02249","p2.A2|IGHNDIAB_02249","p2.A2|IGHNDIAB_02249","1","Rst_HEPN","p2.A2"
"1452","UserReplicon_Gabija_2","Gabija","Gabija","p2.A2|IGHNDIAB_02269","p2.A2|IGHNDIAB_02270","p2.A2|IGHNDIAB_02269,p2.A2|IGHNDIAB_02270","2","GajA,GajB","p2.A2"
"1453","UserReplicon_Septu_9","Septu","Septu","p2.A2|IGHNDIAB_03459","p2.A2|IGHNDIAB_03460","p2.A2|IGHNDIAB_03459,p2.A2|IGHNDIAB_03460","2","PtuA,PtuB","p2.A2"
"1454","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p2.A2|IGHNDIAB_03869","p2.A2|IGHNDIAB_03870","p2.A2|IGHNDIAB_03869,p2.A2|IGHNDIAB_03870","2","Type_I_REases,Type_I_MTases","p2.A2"
"1455","UserReplicon_Abi2_1","Abi2","Abi2","p2.A2|IGHNDIAB_04369","p2.A2|IGHNDIAB_04369","p2.A2|IGHNDIAB_04369","1","Abi_2","p2.A2"
"1456","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p2.A5|IAMFINMA_01045","p2.A5|IAMFINMA_01045","p2.A5|IAMFINMA_01045","1","AAA_15_DUF4435","p2.A5"
